Ship Mode,Segment,Country,City,State,Postal Code,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit,Sales_Bin,Cluster,Cluster_Label
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Envelopes,3.264,2.0,0.2,1.1016000000000004,Low,0,Transaksi Menengah
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Art,15.76,2.0,0.2,3.5460000000000003,Low,0,Transaksi Menengah
Second Class,Home Office,United States,Houston,Texas,77095,Central,Office Supplies,Paper,29.472,3.0,0.2,9.9468,Medium,2,Transaksi Tinggi
First Class,Corporate,United States,Eagan,Minnesota,55122,Central,Office Supplies,Binders,17.46,2.0,0.0,8.206199999999999,Low,1,Transaksi Rendah
Standard Class,Consumer,United States,Dover,Delaware,19901,East,Technology,Accessories,45.0,3.0,0.0,4.949999999999999,High,0,Transaksi Menengah
Standard Class,Consumer,United States,Dover,Delaware,19901,East,Technology,Phones,21.8,2.0,0.0,6.104000000000001,Medium,0,Transaksi Menengah
Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Office Supplies,Binders,38.22,6.0,0.0,17.9634,Medium,0,Transaksi Menengah
Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Furniture,Furnishings,6.16,2.0,0.0,2.9568000000000003,Low,0,Transaksi Menengah
Standard Class,Corporate,United States,New York City,New York,10024,East,Office Supplies,Fasteners,15.26,6.999999999999999,0.0,6.256600000000001,Low,1,Transaksi Rendah
First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Paper,32.4,5.0,0.0,15.552,Medium,0,Transaksi Menengah
First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Paper,14.560000000000002,2.0,0.0,6.988800000000001,Low,0,Transaksi Menengah
First Class,Consumer,United States,Troy,New York,12180,East,Technology,Accessories,30.0,2.0,0.0,3.3,Medium,0,Transaksi Menengah
First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Binders,48.48,4.0,0.2,16.362,High,0,Transaksi Menengah
First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Art,1.68,1.0,0.0,0.8400000000000006,Low,0,Transaksi Menengah
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Technology,Accessories,13.98,2.0,0.0,6.151200000000001,Low,0,Transaksi Menengah
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Binders,25.824,6.0,0.2,9.3612,Medium,0,Transaksi Menengah
Standard Class,Consumer,United States,New York City,New York,10009,East,Office Supplies,Binders,4.616,1.0,0.2,1.7310000000000008,Low,0,Transaksi Menengah
Second Class,Consumer,United States,Jackson,Michigan,49201,Central,Office Supplies,Paper,19.05,3.0,0.0,8.762999999999998,Low,0,Transaksi Menengah
First Class,Corporate,United States,Houston,Texas,77041,Central,Office Supplies,Storage,27.24,3.0,0.2,2.7239999999999998,Medium,1,Transaksi Rendah
First Class,Corporate,United States,Decatur,Alabama,35601,South,Office Supplies,Binders,16.74,3.0,0.0,8.035200000000001,Low,1,Transaksi Rendah
Standard Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Art,14.9,5.0,0.0,4.172000000000001,Low,0,Transaksi Menengah
Standard Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Storage,21.39,1.0,0.0,6.203100000000001,Medium,0,Transaksi Menengah
Standard Class,Consumer,United States,Rochester,Minnesota,55901,Central,Technology,Accessories,19.99,1.0,0.0,6.7966,Low,0,Transaksi Menengah
Standard Class,Consumer,United States,Rochester,Minnesota,55901,Central,Office Supplies,Labels,6.16,2.0,0.0,2.9568000000000003,Low,0,Transaksi Menengah
Standard Class,Corporate,United States,Los Angeles,California,90036,West,Office Supplies,Art,20.1,3.0,0.0,6.632999999999999,Low,1,Transaksi Rendah
Standard Class,Corporate,United States,Los Angeles,California,90036,West,Office Supplies,Paper,6.48,1.0,0.0,3.1104000000000007,Low,1,Transaksi Rendah
Second Class,Consumer,United States,Minneapolis,Minnesota,55407,Central,Office Supplies,Paper,12.96,2.0,0.0,6.220800000000001,Low,0,Transaksi Menengah
Second Class,Consumer,United States,Minneapolis,Minnesota,55407,Central,Furniture,Furnishings,53.34,3.0,0.0,16.5354,High,0,Transaksi Menengah
Second Class,Consumer,United States,Minneapolis,Minnesota,55407,Central,Office Supplies,Binders,32.96,2.0,0.0,16.1504,Medium,0,Transaksi Menengah
First Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Binders,51.312,3.0,0.2,17.9592,High,0,Transaksi Menengah
Second Class,Consumer,United States,Rochester,Minnesota,55901,Central,Office Supplies,Paper,23.92,4.0,0.0,11.7208,Medium,0,Transaksi Menengah
Standard Class,Consumer,United States,Charlotte,North Carolina,28205,South,Technology,Phones,27.992,1.0,0.2,2.0993999999999997,Medium,0,Transaksi Menengah
Standard Class,Consumer,United States,Charlotte,North Carolina,28205,South,Office Supplies,Art,3.304,1.0,0.2,1.0738000000000003,Low,0,Transaksi Menengah
Standard Class,Corporate,United States,New York City,New York,10035,East,Furniture,Furnishings,41.96,2.0,0.0,10.9096,High,1,Transaksi Rendah
Standard Class,Consumer,United States,Urbandale,Iowa,50322,Central,Office Supplies,Binders,27.24,6.0,0.0,13.347599999999998,Medium,0,Transaksi Menengah
Second Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Envelopes,4.72,2.0,0.2,1.6520000000000001,Low,0,Transaksi Menengah
Second Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Paper,23.976,3.0,0.2,7.4925,Medium,0,Transaksi Menengah
First Class,Consumer,United States,Wilmington,Delaware,19805,East,Furniture,Furnishings,47.04,3.0,0.0,18.3456,High,0,Transaksi Menengah
First Class,Consumer,United States,Wilmington,Delaware,19805,East,Office Supplies,Binders,30.840000000000003,4.0,0.0,13.878,Medium,0,Transaksi Menengah
Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Paper,20.04,3.0,0.0,9.6192,Low,0,Transaksi Menengah
Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Paper,35.44,1.0,0.0,16.6568,Medium,0,Transaksi Menengah
Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Art,11.52,4.0,0.0,3.4559999999999995,Low,0,Transaksi Menengah
Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Fasteners,4.02,2.0,0.0,1.9698000000000002,Low,0,Transaksi Menengah
Standard Class,Corporate,United States,San Francisco,California,94122,West,Office Supplies,Art,8.82,3.0,0.0,2.3814000000000006,Low,1,Transaksi Rendah
Standard Class,Corporate,United States,San Francisco,California,94122,West,Office Supplies,Envelopes,10.860000000000001,3.0,0.0,5.104199999999999,Low,1,Transaksi Rendah
Standard Class,Home Office,United States,Seattle,Washington,98105,West,Office Supplies,Art,6.63,3.0,0.0,1.7901,Low,2,Transaksi Tinggi
Standard Class,Consumer,United States,Edmond,Oklahoma,73034,Central,Office Supplies,Labels,14.62,2.0,0.0,6.8714,Low,0,Transaksi Menengah
First Class,Consumer,United States,Los Angeles,California,90045,West,Office Supplies,Paper,5.98,1.0,0.0,2.6910000000000007,Low,0,Transaksi Menengah
Second Class,Consumer,United States,Philadelphia,Pennsylvania,19134,East,Technology,Accessories,54.384,2.0,0.2,1.359599999999999,High,0,Transaksi Menengah
Standard Class,Consumer,United States,Carlsbad,New Mexico,88220,West,Office Supplies,Envelopes,28.4,5.0,0.0,13.348,Medium,0,Transaksi Menengah
Standard Class,Consumer,United States,Seattle,Washington,98115,West,Office Supplies,Binders,27.68,2.0,0.2,9.688,Medium,0,Transaksi Menengah
Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Office Supplies,Art,9.936000000000002,3.0,0.2,2.7323999999999997,Low,0,Transaksi Menengah
Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Office Supplies,Art,32.064,6.0,0.2,6.813600000000001,Medium,0,Transaksi Menengah
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Paper,20.94,3.0,0.0,9.841799999999997,Low,0,Transaksi Menengah
Standard Class,Corporate,United States,Chicago,Illinois,60623,Central,Office Supplies,Labels,20.16,4.0,0.2,6.552000000000001,Low,1,Transaksi Rendah
Second Class,Consumer,United States,Newark,Ohio,43055,East,Office Supplies,Supplies,15.88,5.0,0.2,-3.7715,Low,0,Transaksi Menengah
Standard Class,Home Office,United States,New York City,New York,10009,East,Office Supplies,Art,3.28,1.0,0.0,1.4104000000000005,Low,2,Transaksi Tinggi
Second Class,Corporate,United States,Decatur,Illinois,62521,Central,Office Supplies,Storage,24.816,2.0,0.2,1.8612000000000004,Medium,1,Transaksi Rendah
Second Class,Home Office,United States,Monroe,Louisiana,71203,South,Technology,Accessories,29.0,2.0,0.0,7.249999999999999,Medium,2,Transaksi Tinggi
Standard Class,Consumer,United States,Fairfield,Connecticut,6824,East,Office Supplies,Binders,7.16,2.0,0.0,3.436799999999999,Low,0,Transaksi Menengah
Standard Class,Corporate,United States,Grand Prairie,Texas,75051,Central,Office Supplies,Storage,37.224,3.0,0.2,3.722400000000001,Medium,1,Transaksi Rendah
Standard Class,Corporate,United States,Grand Prairie,Texas,75051,Central,Office Supplies,Paper,20.016,3.0,0.2,6.255000000000001,Low,1,Transaksi Rendah
First Class,Home Office,United States,New York City,New York,10035,East,Office Supplies,Art,19.9,5.0,0.0,6.567,Low,2,Transaksi Tinggi
Standard Class,Corporate,United States,Redlands,California,92374,West,Office Supplies,Envelopes,14.28,6.999999999999999,0.0,6.711600000000002,Low,1,Transaksi Rendah
Standard Class,Consumer,United States,Hamilton,Ohio,45011,East,Office Supplies,Art,7.408,2.0,0.2,1.2038000000000006,Low,0,Transaksi Menengah
Standard Class,Consumer,United States,Hamilton,Ohio,45011,East,Office Supplies,Art,6.048,3.0,0.2,1.5875999999999995,Low,0,Transaksi Menengah
Standard Class,Home Office,United States,Westfield,New Jersey,7090,East,Office Supplies,Storage,46.26,3.0,0.0,12.027599999999998,High,2,Transaksi Tinggi
Standard Class,Corporate,United States,Philadelphia,Pennsylvania,19120,East,Office Supplies,Paper,16.056,3.0,0.2,5.820299999999999,Low,1,Transaksi Rendah
Standard Class,Consumer,United States,Akron,Ohio,44312,East,Office Supplies,Paper,21.744,3.0,0.2,6.795000000000001,Medium,0,Transaksi Menengah
First Class,Consumer,United States,Denver,Colorado,80219,West,Office Supplies,Appliances,2.6,1.0,0.2,0.2925,Low,0,Transaksi Menengah
Standard Class,Corporate,United States,Franklin,Tennessee,37064,South,Furniture,Furnishings,35.168,6.999999999999999,0.2,9.6712,Medium,1,Transaksi Rendah
Standard Class,Consumer,United States,Saginaw,Michigan,48601,Central,Office Supplies,Binders,15.92,4.0,0.0,7.482399999999998,Low,0,Transaksi Menengah
Second Class,Corporate,United States,Dallas,Texas,75220,Central,Technology,Accessories,20.8,2.0,0.2,6.499999999999999,Low,1,Transaksi Rendah
Standard Class,Corporate,United States,Medina,Ohio,44256,East,Office Supplies,Labels,23.68,2.0,0.2,8.880000000000003,Medium,1,Transaksi Rendah
First Class,Consumer,United States,Dublin,Ohio,43017,East,Office Supplies,Fasteners,5.584,2.0,0.2,1.8148,Low,0,Transaksi Menengah
First Class,Consumer,United States,Dublin,Ohio,43017,East,Office Supplies,Paper,22.704,6.0,0.2,8.230200000000002,Medium,0,Transaksi Menengah
First Class,Consumer,United States,Dublin,Ohio,43017,East,Office Supplies,Art,27.168,2.0,0.2,2.7168000000000005,Medium,0,Transaksi Menengah
Standard Class,Corporate,United States,Detroit,Michigan,48227,Central,Office Supplies,Art,2.2,1.0,0.0,0.9680000000000005,Low,1,Transaksi Rendah
Standard Class,Corporate,United States,Detroit,Michigan,48227,Central,Office Supplies,Storage,21.98,1.0,0.0,0.21980000000000002,Medium,1,Transaksi Rendah
Standard Class,Corporate,United States,Santa Clara,California,95051,West,Office Supplies,Paper,10.56,2.0,0.0,4.752000000000001,Low,1,Transaksi Rendah
Second Class,Consumer,United States,Chicago,Illinois,60610,Central,Office Supplies,Paper,25.92,5.0,0.2,9.396,Medium,0,Transaksi Menengah
Second Class,Consumer,United States,Chicago,Illinois,60610,Central,Technology,Phones,31.984,2.0,0.2,11.194399999999998,Medium,0,Transaksi Menengah
Second Class,Consumer,United States,Chicago,Illinois,60610,Central,Office Supplies,Art,7.408,2.0,0.2,1.2038000000000006,Low,0,Transaksi Menengah
Second Class,Home Office,United States,Lakeville,Minnesota,55044,Central,Office Supplies,Paper,25.92,4.0,0.0,12.4416,Medium,2,Transaksi Tinggi
Standard Class,Consumer,United States,San Diego,California,92037,West,Office Supplies,Paper,7.61,1.0,0.0,3.5767000000000007,Low,0,Transaksi Menengah
Standard Class,Corporate,United States,Chicago,Illinois,60623,Central,Office Supplies,Storage,53.92,5.0,0.2,4.0440000000000005,High,1,Transaksi Rendah
Second Class,Consumer,United States,New York City,New York,10009,East,Technology,Accessories,20.37,3.0,0.0,6.925800000000001,Low,0,Transaksi Menengah
Second Class,Consumer,United States,New York City,New York,10009,East,Office Supplies,Binders,17.52,5.0,0.2,6.132000000000001,Low,0,Transaksi Menengah
Standard Class,Corporate,United States,Chapel Hill,North Carolina,27514,South,Office Supplies,Art,14.016,3.0,0.2,4.7304,Low,1,Transaksi Rendah
Standard Class,Consumer,United States,Morristown,New Jersey,7960,East,Office Supplies,Fasteners,7.56,6.0,0.0,0.3024000000000004,Low,0,Transaksi Menengah
First Class,Consumer,United States,San Francisco,California,94109,West,Furniture,Furnishings,5.28,3.0,0.0,2.3232000000000004,Low,0,Transaksi Menengah
First Class,Consumer,United States,San Francisco,California,94109,West,Office Supplies,Binders,10.92,3.0,0.2,4.095,Low,0,Transaksi Menengah
First Class,Corporate,United States,Inglewood,California,90301,West,Office Supplies,Paper,8.82,2.0,0.0,4.057199999999999,Low,1,Transaksi Rendah
First Class,Corporate,United States,Inglewood,California,90301,West,Office Supplies,Art,5.98,1.0,0.0,1.5547999999999997,Low,1,Transaksi Rendah
Standard Class,Corporate,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Paper,11.648000000000001,2.0,0.2,4.0768,Low,1,Transaksi Rendah
Standard Class,Corporate,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Paper,18.176,4.0,0.2,5.9072,Low,1,Transaksi Rendah
Standard Class,Corporate,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Storage,59.712,6.0,0.2,5.9712,High,1,Transaksi Rendah
Standard Class,Corporate,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Labels,24.84,3.0,0.2,8.693999999999999,Medium,1,Transaksi Rendah
Standard Class,Consumer,United States,Portland,Oregon,97206,West,Office Supplies,Paper,31.103999999999996,6.0,0.2,10.886400000000002,Medium,0,Transaksi Menengah
Second Class,Home Office,United States,Columbus,Ohio,43229,East,Office Supplies,Fasteners,19.096,6.999999999999999,0.2,6.683600000000002,Low,2,Transaksi Tinggi
First Class,Corporate,United States,Colorado Springs,Colorado,80906,West,Office Supplies,Fasteners,27.552,3.0,0.2,9.2988,Medium,1,Transaksi Rendah
Standard Class,Corporate,United States,Belleville,New Jersey,7109,East,Office Supplies,Paper,32.4,5.0,0.0,15.552,Medium,1,Transaksi Rendah
Standard Class,Corporate,United States,Belleville,New Jersey,7109,East,Office Supplies,Binders,14.28,1.0,0.0,6.5688,Low,1,Transaksi Rendah
Second Class,Corporate,United States,New York City,New York,10024,East,Furniture,Furnishings,26.8,2.0,0.0,12.864,Medium,1,Transaksi Rendah
Standard Class,Corporate,United States,Taylor,Michigan,48180,Central,Office Supplies,Art,9.840000000000002,3.0,0.0,2.8535999999999992,Low,1,Transaksi Rendah
First Class,Consumer,United States,Arlington,Virginia,22204,South,Office Supplies,Art,4.89,1.0,0.0,2.0049,Low,0,Transaksi Menengah
Second Class,Corporate,United States,Arvada,Colorado,80004,West,Furniture,Furnishings,15.136000000000001,4.0,0.2,3.5948,Low,1,Transaksi Rendah
Second Class,Corporate,United States,Arvada,Colorado,80004,West,Furniture,Furnishings,15.232000000000001,1.0,0.2,1.7136000000000007,Low,1,Transaksi Rendah
Second Class,Corporate,United States,Arvada,Colorado,80004,West,Office Supplies,Labels,6.264,3.0,0.2,2.0358000000000005,Low,1,Transaksi Rendah
Standard Class,Corporate,United States,Saint Petersburg,Florida,33710,South,Office Supplies,Paper,15.551999999999998,3.0,0.2,5.443200000000001,Low,1,Transaksi Rendah
Standard Class,Home Office,United States,New York City,New York,10024,East,Office Supplies,Storage,43.57,1.0,0.0,13.071,High,2,Transaksi Tinggi
Standard Class,Corporate,United States,Long Beach,California,90805,West,Office Supplies,Fasteners,7.16,2.0,0.0,3.579999999999999,Low,1,Transaksi Rendah
Second Class,Corporate,United States,Murfreesboro,Tennessee,37130,South,Furniture,Furnishings,15.992,1.0,0.2,0.9994999999999994,Low,1,Transaksi Rendah
First Class,Consumer,United States,Philadelphia,Pennsylvania,19143,East,Office Supplies,Storage,54.224,2.0,0.2,3.389,High,0,Transaksi Menengah
Second Class,Consumer,United States,Los Angeles,California,90045,West,Office Supplies,Binders,4.752,1.0,0.2,1.6038000000000006,Low,0,Transaksi Menengah
Second Class,Consumer,United States,Los Angeles,California,90045,West,Office Supplies,Binders,14.368000000000002,4.0,0.2,4.49,Low,0,Transaksi Menengah
Standard Class,Corporate,United States,San Francisco,California,94122,West,Office Supplies,Binders,7.711999999999999,2.0,0.2,2.7956,Low,1,Transaksi Rendah
Second Class,Consumer,United States,Layton,Utah,84041,West,Office Supplies,Fasteners,4.96,4.0,0.0,2.3311999999999995,Low,0,Transaksi Menengah
Second Class,Corporate,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Art,17.856,4.0,0.2,1.1159999999999994,Low,1,Transaksi Rendah
Standard Class,Consumer,United States,San Francisco,California,94122,West,Technology,Phones,47.976,3.0,0.2,4.7976,High,0,Transaksi Menengah
Standard Class,Consumer,United States,Lowell,Massachusetts,1852,East,Office Supplies,Art,7.56,3.0,0.0,3.0995999999999997,Low,0,Transaksi Menengah
Standard Class,Consumer,United States,Lowell,Massachusetts,1852,East,Office Supplies,Paper,24.56,2.0,0.0,11.543200000000002,Medium,0,Transaksi Menengah
Standard Class,Consumer,United States,Lowell,Massachusetts,1852,East,Office Supplies,Art,12.96,2.0,0.0,4.1472,Low,0,Transaksi Menengah
First Class,Home Office,United States,New York City,New York,10009,East,Technology,Accessories,6.79,1.0,0.0,2.3086,Low,2,Transaksi Tinggi
First Class,Home Office,United States,New York City,New York,10009,East,Office Supplies,Paper,24.56,2.0,0.0,11.543200000000002,Medium,2,Transaksi Tinggi
First Class,Home Office,United States,New York City,New York,10009,East,Office Supplies,Binders,3.048,1.0,0.2,1.0668000000000004,Low,2,Transaksi Tinggi
Standard Class,Consumer,United States,New York City,New York,10035,East,Office Supplies,Envelopes,8.26,2.0,0.0,3.7995999999999994,Low,0,Transaksi Menengah
Standard Class,Consumer,United States,New York City,New York,10035,East,Office Supplies,Art,17.04,4.0,0.0,6.986400000000001,Low,0,Transaksi Menengah
Standard Class,Consumer,United States,New York City,New York,10035,East,Office Supplies,Paper,34.4,5.0,0.0,15.823999999999998,Medium,0,Transaksi Menengah
Standard Class,Corporate,United States,Charlotte,North Carolina,28205,South,Office Supplies,Paper,36.24,5.0,0.2,11.325,Medium,1,Transaksi Rendah
First Class,Corporate,United States,Columbus,Georgia,31907,South,Office Supplies,Labels,20.7,2.0,0.0,9.936,Low,1,Transaksi Rendah
Standard Class,Consumer,United States,New York City,New York,10009,East,Office Supplies,Labels,20.7,2.0,0.0,9.936,Low,0,Transaksi Menengah
Standard Class,Consumer,United States,New York City,New York,10009,East,Office Supplies,Art,5.56,2.0,0.0,1.4455999999999996,Low,0,Transaksi Menengah
Same Day,Corporate,United States,Manchester,Connecticut,6040,East,Office Supplies,Binders,23.2,4.0,0.0,10.44,Medium,1,Transaksi Rendah
Same Day,Corporate,United States,Manchester,Connecticut,6040,East,Office Supplies,Supplies,7.36,2.0,0.0,0.14720000000000055,Low,1,Transaksi Rendah
Standard Class,Consumer,United States,Harlingen,Texas,78550,Central,Office Supplies,Paper,25.92,5.0,0.2,9.396,Medium,0,Transaksi Menengah
Standard Class,Consumer,United States,Harlingen,Texas,78550,Central,Office Supplies,Storage,53.424,3.0,0.2,4.6746,High,0,Transaksi Menengah
Standard Class,Consumer,United States,Tucson,Arizona,85705,West,Office Supplies,Art,9.240000000000002,1.0,0.2,0.9239999999999995,Low,0,Transaksi Menengah
Standard Class,Consumer,United States,Houston,Texas,77095,Central,Office Supplies,Storage,23.832,3.0,0.2,2.6811000000000003,Medium,0,Transaksi Menengah
First Class,Corporate,United States,San Francisco,California,94109,West,Office Supplies,Binders,49.536,3.0,0.2,17.3376,High,1,Transaksi Rendah
Second Class,Corporate,United States,Taylor,Michigan,48180,Central,Technology,Accessories,41.9,2.0,0.0,8.799,High,1,Transaksi Rendah
Standard Class,Corporate,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Furnishings,2.96,1.0,0.2,0.7769999999999999,Low,1,Transaksi Rendah
First Class,Consumer,United States,Cincinnati,Ohio,45231,East,Office Supplies,Art,2.624,1.0,0.2,0.4264,Low,0,Transaksi Menengah
Standard Class,Consumer,United States,New York City,New York,10009,East,Office Supplies,Binders,23.36,4.0,0.2,7.8839999999999995,Medium,0,Transaksi Menengah
Standard Class,Consumer,United States,New York City,New York,10009,East,Technology,Accessories,39.98,2.0,0.0,13.5932,Medium,0,Transaksi Menengah
Second Class,Corporate,United States,Warwick,Rhode Island,2886,East,Office Supplies,Storage,49.96,2.0,0.0,9.4924,High,1,Transaksi Rendah
Second Class,Corporate,United States,Warwick,Rhode Island,2886,East,Office Supplies,Paper,12.96,2.0,0.0,6.220800000000001,Low,1,Transaksi Rendah
Second Class,Consumer,United States,Houston,Texas,77036,Central,Office Supplies,Storage,35.952,3.0,0.2,3.5951999999999993,Medium,0,Transaksi Menengah
Second Class,Consumer,United States,Houston,Texas,77036,Central,Technology,Accessories,57.584,2.0,0.2,0.7198000000000003,High,0,Transaksi Menengah
First Class,Consumer,United States,Miami,Florida,33180,South,Office Supplies,Paper,9.568000000000001,2.0,0.2,3.4683999999999995,Low,0,Transaksi Menengah
Standard Class,Corporate,United States,Wilmington,North Carolina,28403,South,Office Supplies,Art,39.072,6.0,0.2,9.768000000000002,Medium,1,Transaksi Rendah
Standard Class,Consumer,United States,New York City,New York,10024,East,Office Supplies,Appliances,35.91,3.0,0.0,9.6957,Medium,0,Transaksi Menengah
Standard Class,Consumer,United States,San Francisco,California,94110,West,Office Supplies,Paper,27.15,5.0,0.0,13.303500000000001,Medium,0,Transaksi Menengah
Standard Class,Consumer,United States,San Francisco,California,94110,West,Office Supplies,Paper,9.680000000000001,1.0,0.0,4.646400000000001,Low,0,Transaksi Menengah
Standard Class,Corporate,United States,Richmond,Kentucky,40475,South,Office Supplies,Paper,5.78,1.0,0.0,2.832199999999999,Low,1,Transaksi Rendah
Standard Class,Corporate,United States,Los Angeles,California,90045,West,Office Supplies,Art,9.320000000000002,4.0,0.0,2.7028000000000008,Low,1,Transaksi Rendah
Standard Class,Corporate,United States,Los Angeles,California,90045,West,Office Supplies,Envelopes,15.25,1.0,0.0,7.015,Low,1,Transaksi Rendah
Standard Class,Corporate,United States,Lawrence,Massachusetts,1841,East,Furniture,Furnishings,56.56,4.0,0.0,14.7056,High,1,Transaksi Rendah
Standard Class,Corporate,United States,Lawrence,Massachusetts,1841,East,Office Supplies,Storage,32.7,3.0,0.0,8.501999999999999,Medium,1,Transaksi Rendah
Second Class,Corporate,United States,Canton,Michigan,48187,Central,Furniture,Furnishings,28.4,2.0,0.0,11.076,Medium,1,Transaksi Rendah
Standard Class,Corporate,United States,San Antonio,Texas,78207,Central,Office Supplies,Art,6.672,6.0,0.2,0.5003999999999994,Low,1,Transaksi Rendah
Standard Class,Home Office,United States,Gastonia,North Carolina,28052,South,Office Supplies,Storage,4.768,2.0,0.2,-0.7748000000000002,Low,2,Transaksi Tinggi
Second Class,Consumer,United States,Detroit,Michigan,48227,Central,Furniture,Furnishings,12.22,1.0,0.0,3.6659999999999995,Low,0,Transaksi Menengah
Second Class,Consumer,United States,Detroit,Michigan,48227,Central,Office Supplies,Labels,22.05,6.999999999999999,0.0,10.584,Medium,0,Transaksi Menengah
Second Class,Consumer,United States,Columbus,Indiana,47201,Central,Furniture,Furnishings,2.91,1.0,0.0,1.3677000000000004,Low,0,Transaksi Menengah
Second Class,Consumer,United States,Auburn,New York,13021,East,Office Supplies,Art,59.52,3.0,0.0,15.475199999999997,High,0,Transaksi Menengah
Second Class,Consumer,United States,Auburn,New York,13021,East,Office Supplies,Art,30.48,3.0,0.0,7.9247999999999985,Medium,0,Transaksi Menengah
Second Class,Consumer,United States,Auburn,New York,13021,East,Office Supplies,Art,9.840000000000002,3.0,0.0,2.8535999999999992,Low,0,Transaksi Menengah
Second Class,Consumer,United States,Auburn,New York,13021,East,Technology,Phones,35.12,4.0,0.0,9.131200000000002,Medium,0,Transaksi Menengah
Standard Class,Consumer,United States,Decatur,Illinois,62521,Central,Office Supplies,Envelopes,8.928000000000003,2.0,0.2,3.348,Low,0,Transaksi Menengah
Standard Class,Consumer,United States,Seattle,Washington,98115,West,Office Supplies,Binders,51.312,3.0,0.2,18.6006,High,0,Transaksi Menengah
Standard Class,Home Office,United States,Phoenix,Arizona,85023,West,Furniture,Furnishings,23.56,5.0,0.2,7.067999999999999,Medium,2,Transaksi Tinggi
Standard Class,Consumer,United States,Troy,New York,12180,East,Furniture,Furnishings,40.2,3.0,0.0,19.296,Medium,0,Transaksi Menengah
Standard Class,Corporate,United States,New York City,New York,10024,East,Office Supplies,Art,14.7,5.0,0.0,6.614999999999998,Low,1,Transaksi Rendah
